Name,EAN/UPC,Brand,Model Type,Model Number,Category,Sub-Category,Brand Color,Color,Compatible Device,Type (Name),Type,Microphone,Warranty,Warranty Summary,Description,Image1,Image2,Image3,Image4,Image5,Image6,Image7,Video URL,Sales Package,Quantity,Tax,Price,Wholesale Price,Firstsale Price,Special Price From,Special Price To,Height,Depth,Weight,Meta Title,Meta Description,Meta Keyword,Key Features
Beats By Dre Power Beats Earphone - White,8.48447E+11,Beats By Dre,Power Beats,,Earphones & Headphones,Earphones,White,White,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Earphone,"In Ear, Stereo, Clip Ons",With Microphone,1 Year Warranty,,"Sweat resistant and UV protected, ideal for those who love getting athletic to music, indoors or outdoors. Advanced passive sound isolation delivers music with power yet keeps your surroundings audible. ControlTalk on-cable mic for convenient hands-free calling with iPhones and smartphones.",Beats_By_Dre_Power_Beats_Earphone_White_1.jpeg,Beats_By_Dre_Power_Beats_Earphone_White_2.jpeg,Beats_By_Dre_Power_Beats_Earphone_White_3.jpeg,Beats_By_Dre_Power_Beats_Earphone_White_4.jpeg,Beats_By_Dre_Power_Beats_Earphone_White_5.jpeg,Beats_By_Dre_Power_Beats_Earphone_White_6.jpeg,Beats_By_Dre_Power_Beats_Earphone_White_7.jpeg,,1,1,5,12350,,,,,,,,,,,
Beats By Dre Power Beats Earphone - Red,8.48447E+11,Beats By Dre,Power Beats,,Earphones & Headphones,Earphones,Red,Red,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Earphone,"In Ear, Stereo, Clip Ons",With Microphone,1 Year Warranty,,"Sweat resistant and UV protected, ideal for those who love getting athletic to music, indoors or outdoors. Advanced passive sound isolation delivers music with power yet keeps your surroundings audible. ControlTalk on-cable mic for convenient hands-free calling with iPhones and smartphones.",Beats_By_Dre_Power_Beats_Earphone_Red_1.jpeg,Beats_By_Dre_Power_Beats_Earphone_Red_2.jpeg,Beats_By_Dre_Power_Beats_Earphone_Red_3.jpeg,Beats_By_Dre_Power_Beats_Earphone_Red_4.jpeg,Beats_By_Dre_Power_Beats_Earphone_Red_5.jpeg,Beats_By_Dre_Power_Beats_Earphone_Red_6.jpeg,Beats_By_Dre_Power_Beats_Earphone_Red_7.jpeg,,1,1,5,12350,,,,,,,,,,,
Beats By Dre Power Beats Earphone - Black,8.48447E+11,Beats By Dre,Power Beats,,Earphones & Headphones,Earphones,Black,Black,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Earphone,"In Ear, Stereo, Clip Ons",With Microphone,1 Year Warranty,,"Sweat resistant and UV protected, ideal for those who love getting athletic to music, indoors or outdoors. Advanced passive sound isolation delivers music with power yet keeps your surroundings audible. ControlTalk on-cable mic for convenient hands-free calling with iPhones and smartphones.",Beats_By_Dre_Power_Beats_Earphone_Black_1.jpeg,Beats_By_Dre_Power_Beats_Earphone_Black_2.jpeg,Beats_By_Dre_Power_Beats_Earphone_Black_3.jpeg,Beats_By_Dre_Power_Beats_Earphone_Black_4.jpeg,Beats_By_Dre_Power_Beats_Earphone_Black_5.jpeg,Beats_By_Dre_Power_Beats_Earphone_Black_6.jpeg,Beats_By_Dre_Power_Beats_Earphone_Black_7.jpeg,,1,1,5,12350,,,,,,,,,,,
Beats By Dre Urbeats Earphone - Black,8.48447E+11,Beats By Dre,Urbeats,,Earphones & Headphones,Earphones,Black,Black,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Earphone,"In Ear, Stereo",With Microphone,1 Year Warranty,,"Deep bass, soaring highs and clear midrange. Solid metal housing creates an undisturbed listening experience. Multisized eartips for a complete fit. Take calls and control music with RemoteTalk cable.",Beats_By_Dre_Urbeats_Earphone_Black_1.jpeg,Beats_By_Dre_Urbeats_Earphone_Black_2.jpeg,Beats_By_Dre_Urbeats_Earphone_Black_3.jpeg,Beats_By_Dre_Urbeats_Earphone_Black_4.jpeg,Beats_By_Dre_Urbeats_Earphone_Black_5.jpeg,Beats_By_Dre_Urbeats_Earphone_Black_6.jpeg,Beats_By_Dre_Urbeats_Earphone_Black_7.jpeg,,1,1,5,8500,,,,,,,,,,,
Beats By Dre Urbeats Earphone - Red,8.48447E+11,Beats By Dre,Urbeats,,Earphones & Headphones,Earphones,Red,Red,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Earphone,"In Ear, Stereo",With Microphone,1 Year Warranty,,"Deep bass, soaring highs and clear midrange. Solid metal housing creates an undisturbed listening experience. Multisized eartips for a complete fit. Take calls and control music with RemoteTalk cable.",Beats_By_Dre_Urbeats_Earphone_Red_1.jpeg,Beats_By_Dre_Urbeats_Earphone_Red_2.jpeg,Beats_By_Dre_Urbeats_Earphone_Red_3.jpeg,Beats_By_Dre_Urbeats_Earphone_Red_4.jpeg,Beats_By_Dre_Urbeats_Earphone_Red_5.jpeg,Beats_By_Dre_Urbeats_Earphone_Red_6.jpeg,Beats_By_Dre_Urbeats_Earphone_Red_7.jpeg,,1,1,5,8500,,,,,,,,,,,
Beats By Dre Urbeats Earphone - Gold,8.88462E+11,Beats By Dre,Urbeats,,Earphones & Headphones,Earphones,Gold,Gold,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Earphone,"In Ear, Stereo",With Microphone,1 Year Warranty,,"Deep bass, soaring highs and clear midrange. Solid metal housing creates an undisturbed listening experience. Multisized eartips for a complete fit. Take calls and control music with RemoteTalk cable.",Beats_By_Dre_Urbeats_Earphone_Gold_1.jpeg,Beats_By_Dre_Urbeats_Earphone_Gold_2.jpeg,Beats_By_Dre_Urbeats_Earphone_Gold_3.jpeg,Beats_By_Dre_Urbeats_Earphone_Gold_4.jpeg,Beats_By_Dre_Urbeats_Earphone_Gold_5.jpeg,Beats_By_Dre_Urbeats_Earphone_Gold_6.jpeg,Beats_By_Dre_Urbeats_Earphone_Gold_7.jpeg,,1,1,5,8500,,,,,,,,,,,
Beats By Dre Urbeats Earphone - White,8.48447E+11,Beats By Dre,Urbeats,,Earphones & Headphones,Earphones,White,White,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Earphone,"In Ear, Stereo",With Microphone,1 Year Warranty,,"Deep bass, soaring highs and clear midrange. Solid metal housing creates an undisturbed listening experience. Multisized eartips for a complete fit. Take calls and control music with RemoteTalk cable.",Beats_By_Dre_Urbeats_Earphone_White_1.jpeg,Beats_By_Dre_Urbeats_Earphone_White_2.jpeg,Beats_By_Dre_Urbeats_Earphone_White_3.jpeg,Beats_By_Dre_Urbeats_Earphone_White_4.jpeg,Beats_By_Dre_Urbeats_Earphone_White_5.jpeg,Beats_By_Dre_Urbeats_Earphone_White_6.jpeg,Beats_By_Dre_Urbeats_Earphone_White_7.jpeg,,1,1,5,8500,,,,,,,,,,,
Beats By Dre Tour2 Earphone - Black,8.48447E+11,Beats By Dre,Tour2,,Earphones & Headphones,Earphones,Black,Black,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Earphone,"In Ear, Stereo",With Microphone,1 Year Warranty,,Sweat and water-resistant to survive tough weather and workouts. Optional wingtips for a versatile and comfortable fit. Full-range sound profile with crisp highs and powerful lows. Take hands-free calls and control music with RemoteTalk cable.,Beats_By_Dre_Tour2_Earphone_Black_1.jpeg,Beats_By_Dre_Tour2_Earphone_Black_2.jpeg,Beats_By_Dre_Tour2_Earphone_Black_3.jpeg,Beats_By_Dre_Tour2_Earphone_Black_4.jpeg,Beats_By_Dre_Tour2_Earphone_Black_5.jpeg,Beats_By_Dre_Tour2_Earphone_Black_6.jpeg,Beats_By_Dre_Tour2_Earphone_Black_7.jpeg,,1,1,5,12350,,,,,,,,,,,
Beats By Dre Tour2 Earphone - White,8.48447E+11,Beats By Dre,Tour2,,Earphones & Headphones,Earphones,White,White,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Earphone,"In Ear, Stereo",With Microphone,1 Year Warranty,,Sweat and water-resistant to survive tough weather and workouts. Optional wingtips for a versatile and comfortable fit. Full-range sound profile with crisp highs and powerful lows. Take hands-free calls and control music with RemoteTalk cable.,Beats_By_Dre_Tour2_Earphone_White_1.jpeg,Beats_By_Dre_Tour2_Earphone_White_2.jpeg,Beats_By_Dre_Tour2_Earphone_White_3.jpeg,Beats_By_Dre_Tour2_Earphone_White_4.jpeg,Beats_By_Dre_Tour2_Earphone_White_5.jpeg,Beats_By_Dre_Tour2_Earphone_White_6.jpeg,Beats_By_Dre_Tour2_Earphone_White_7.jpeg,,1,1,5,12350,,,,,,,,,,,
Beats By Dre Tour2 Earphone - Red,8.48447E+11,Beats By Dre,Tour2,,Earphones & Headphones,Earphones,Red,Red,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Earphone,"In Ear, Stereo",With Microphone,1 Year Warranty,,Sweat and water-resistant to survive tough weather and workouts. Optional wingtips for a versatile and comfortable fit. Full-range sound profile with crisp highs and powerful lows. Take hands-free calls and control music with RemoteTalk cable.,Beats_By_Dre_Tour2_Earphone_Red_1.jpeg,Beats_By_Dre_Tour2_Earphone_Red_2.jpeg,Beats_By_Dre_Tour2_Earphone_Red_3.jpeg,Beats_By_Dre_Tour2_Earphone_Red_4.jpeg,Beats_By_Dre_Tour2_Earphone_Red_5.jpeg,Beats_By_Dre_Tour2_Earphone_Red_6.jpeg,Beats_By_Dre_Tour2_Earphone_Red_7.jpeg,,1,1,5,12350,,,,,,,,,,,
Beats By Dre Power Beats2 Wireless Earphone - White,8.48447E+11,Beats By Dre,Power Beats2 Wireless,,Earphones & Headphones,Earphones,White,White,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Earphone,"In Ear, Stereo, Clip Ons",With Microphone,1 Year Warranty,,Premium sound in a lightweight design with flexible earhooks. Sweat and water resistant. Take hands-free calls and adjust music with no-slip-grip RemoteTalk controls. Pair and play with your Bluetooth device with 30 foot range. 6 hour rechargeable battery.,Beats_By_Dre_Power_Beats2_Wireless_Earphone_White_1.jpeg,Beats_By_Dre_Power_Beats2_Wireless_Earphone_White_2.jpeg,Beats_By_Dre_Power_Beats2_Wireless_Earphone_White_3.jpeg,Beats_By_Dre_Power_Beats2_Wireless_Earphone_White_4.jpeg,Beats_By_Dre_Power_Beats2_Wireless_Earphone_White_5.jpeg,Beats_By_Dre_Power_Beats2_Wireless_Earphone_White_6.jpeg,Beats_By_Dre_Power_Beats2_Wireless_Earphone_White_7.jpeg,,1,1,5,18000,,,,,,,,,,,
Beats By Dre Power Beats2 Wireless Earphone - Red,8.48447E+11,Beats By Dre,Power Beats2 Wireless,,Earphones & Headphones,Earphones,Red,Red,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Earphone,"In Ear, Stereo, Clip Ons",With Microphone,1 Year Warranty,,Premium sound in a lightweight design with flexible earhooks. Sweat and water resistant. Take hands-free calls and adjust music with no-slip-grip RemoteTalk controls. Pair and play with your Bluetooth device with 30 foot range. 6 hour rechargeable battery.,Beats_By_Dre_Power_Beats2_Wireless_Earphone_Red_1.jpeg,Beats_By_Dre_Power_Beats2_Wireless_Earphone_Red_2.jpeg,Beats_By_Dre_Power_Beats2_Wireless_Earphone_Red_3.jpeg,Beats_By_Dre_Power_Beats2_Wireless_Earphone_Red_4.jpeg,Beats_By_Dre_Power_Beats2_Wireless_Earphone_Red_5.jpeg,Beats_By_Dre_Power_Beats2_Wireless_Earphone_Red_6.jpeg,Beats_By_Dre_Power_Beats2_Wireless_Earphone_Red_7.jpeg,,1,1,5,18000,,,,,,,,,,,
Beats By Dre Power Beats2 Wireless Earphone - Black,8.48447E+11,Beats By Dre,Power Beats2 Wireless,,Earphones & Headphones,Earphones,Black,Black,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Earphone,"In Ear, Stereo, Clip Ons",With Microphone,1 Year Warranty,,Premium sound in a lightweight design with flexible earhooks. Sweat and water resistant. Take hands-free calls and adjust music with no-slip-grip RemoteTalk controls. Pair and play with your Bluetooth device with 30 foot range. 6 hour rechargeable battery.,Beats_By_Dre_Power_Beats2_Wireless_Earphone_Black_1.jpeg,Beats_By_Dre_Power_Beats2_Wireless_Earphone_Black_2.jpeg,Beats_By_Dre_Power_Beats2_Wireless_Earphone_Black_3.jpeg,Beats_By_Dre_Power_Beats2_Wireless_Earphone_Black_4.jpeg,Beats_By_Dre_Power_Beats2_Wireless_Earphone_Black_5.jpeg,Beats_By_Dre_Power_Beats2_Wireless_Earphone_Black_6.jpeg,Beats_By_Dre_Power_Beats2_Wireless_Earphone_Black_7.jpeg,,1,1,5,18000,,,,,,,,,,,
Beats By Dre Power Beats2 Wireless Earphone - Blue,8.48447E+11,Beats By Dre,Power Beats2 Wireless,,Earphones & Headphones,Earphones,Blue,Blue,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Earphone,"In Ear, Stereo, Clip Ons",With Microphone,1 Year Warranty,,Premium sound in a lightweight design with flexible earhooks. Sweat and water resistant. Take hands-free calls and adjust music with no-slip-grip RemoteTalk controls. Pair and play with your Bluetooth device with 30 foot range. 6 hour rechargeable battery.,Beats_By_Dre_Power_Beats2_Wireless_Earphone_Blue_1.jpeg,Beats_By_Dre_Power_Beats2_Wireless_Earphone_Blue_2.jpeg,Beats_By_Dre_Power_Beats2_Wireless_Earphone_Blue_3.jpeg,Beats_By_Dre_Power_Beats2_Wireless_Earphone_Blue_4.jpeg,Beats_By_Dre_Power_Beats2_Wireless_Earphone_Blue_5.jpeg,Beats_By_Dre_Power_Beats2_Wireless_Earphone_Blue_6.jpeg,Beats_By_Dre_Power_Beats2_Wireless_Earphone_Blue_7.jpeg,,1,1,5,18000,,,,,,,,,,,
Beats By Dre Studio Headphone - Orange,8.48447E+11,Beats By Dre,Studio,,Earphones & Headphones,Headphones,Orange,Orange,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"Over The Ear, Stereo, Noice Cancelling",With Microphone,1 Year Warranty,,"Original Beats Studio, battery-powered over-ear headphones developed by Dr. Dre headphones amplify music while blocking out noise. Flawless, iconic fit with a convenient foldable design. Remote control operation from the cord.",Beats_By_Dre_Studio_Headphone_Orange_1.jpeg,Beats_By_Dre_Studio_Headphone_Orange_2.jpeg,Beats_By_Dre_Studio_Headphone_Orange_3.jpeg,Beats_By_Dre_Studio_Headphone_Orange_4.jpeg,Beats_By_Dre_Studio_Headphone_Orange_5.jpeg,Beats_By_Dre_Studio_Headphone_Orange_6.jpeg,Beats_By_Dre_Studio_Headphone_Orange_7.jpeg,,1,1,5,25000,,,,,,,,,,,
Beats By Dre Studio Headphone - Pink,8.48447E+11,Beats By Dre,Studio,,Earphones & Headphones,Headphones,Pink,Pink,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"Over The Ear, Stereo, Noice Cancelling",With Microphone,1 Year Warranty,,"Original Beats Studio, battery-powered over-ear headphones developed by Dr. Dre headphones amplify music while blocking out noise. Flawless, iconic fit with a convenient foldable design. Remote control operation from the cord.",Beats_By_Dre_Studio_Headphone_Pink_1.jpeg,Beats_By_Dre_Studio_Headphone_Pink_2.jpeg,Beats_By_Dre_Studio_Headphone_Pink_3.jpeg,Beats_By_Dre_Studio_Headphone_Pink_4.jpeg,Beats_By_Dre_Studio_Headphone_Pink_5.jpeg,Beats_By_Dre_Studio_Headphone_Pink_6.jpeg,Beats_By_Dre_Studio_Headphone_Pink_7.jpeg,,1,1,5,25000,,,,,,,,,,,
Beats By Dre Studio Headphone - Red,8.48447E+11,Beats By Dre,Studio,,Earphones & Headphones,Headphones,Red,Red,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"Over The Ear, Stereo, Noice Cancelling",With Microphone,1 Year Warranty,,"Original Beats Studio, battery-powered over-ear headphones developed by Dr. Dre headphones amplify music while blocking out noise. Flawless, iconic fit with a convenient foldable design. Remote control operation from the cord.",Beats_By_Dre_Studio_Headphone_Red_1.jpeg,Beats_By_Dre_Studio_Headphone_Red_2.jpeg,Beats_By_Dre_Studio_Headphone_Red_3.jpeg,Beats_By_Dre_Studio_Headphone_Red_4.jpeg,Beats_By_Dre_Studio_Headphone_Red_5.jpeg,Beats_By_Dre_Studio_Headphone_Red_6.jpeg,Beats_By_Dre_Studio_Headphone_Red_7.jpeg,,1,1,5,25000,,,,,,,,,,,
Beats By Dre Studio 2 Headphone - Red,8.48447E+11,Beats By Dre,Studio 2,,Earphones & Headphones,Headphones,Red,Red,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"Over The Ear, Stereo, Noice Cancelling",With Microphone,1 Year Warranty,,"The world’s most famous headphone has been completely redesigned and reimagined. The new Beats Studio is lighter, sexier, stronger, and more comfortable, with precision sound, Adaptive Noise Canceling, a 20-hour rechargeable battery, and RemoteTalk. It has all the energy and excitement you expect from Beats, plus a powerful, reengineered sound.",Beats_By_Dre_Studio_2_Headphone_Red_1.jpeg,Beats_By_Dre_Studio_2_Headphone_Red_2.jpeg,Beats_By_Dre_Studio_2_Headphone_Red_3.jpeg,Beats_By_Dre_Studio_2_Headphone_Red_4.jpeg,Beats_By_Dre_Studio_2_Headphone_Red_5.jpeg,Beats_By_Dre_Studio_2_Headphone_Red_6.jpeg,Beats_By_Dre_Studio_2_Headphone_Red_7.jpeg,,1,1,5,23600,,,,,,,,,,,
Beats By Dre Studio 2 Headphone - White,8.48447E+11,Beats By Dre,Studio 2,,Earphones & Headphones,Headphones,White,White,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"Over The Ear, Stereo, Noice Cancelling",With Microphone,1 Year Warranty,,"The world’s most famous headphone has been completely redesigned and reimagined. The new Beats Studio is lighter, sexier, stronger, and more comfortable, with precision sound, Adaptive Noise Canceling, a 20-hour rechargeable battery, and RemoteTalk. It has all the energy and excitement you expect from Beats, plus a powerful, reengineered sound.",Beats_By_Dre_Studio_2_Headphone_White_1.jpeg,Beats_By_Dre_Studio_2_Headphone_White_2.jpeg,Beats_By_Dre_Studio_2_Headphone_White_3.jpeg,Beats_By_Dre_Studio_2_Headphone_White_4.jpeg,Beats_By_Dre_Studio_2_Headphone_White_5.jpeg,Beats_By_Dre_Studio_2_Headphone_White_6.jpeg,Beats_By_Dre_Studio_2_Headphone_White_7.jpeg,,1,1,5,23600,,,,,,,,,,,
Beats By Dre Studio 2 Headphone - Black,8.48447E+11,Beats By Dre,Studio 2,,Earphones & Headphones,Headphones,Black,Black,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"Over The Ear, Stereo, Noice Cancelling",With Microphone,1 Year Warranty,,"The world’s most famous headphone has been completely redesigned and reimagined. The new Beats Studio is lighter, sexier, stronger, and more comfortable, with precision sound, Adaptive Noise Canceling, a 20-hour rechargeable battery, and RemoteTalk. It has all the energy and excitement you expect from Beats, plus a powerful, reengineered sound.",Beats_By_Dre_Studio_2_Headphone_Black_1.jpeg,Beats_By_Dre_Studio_2_Headphone_Black_2.jpeg,Beats_By_Dre_Studio_2_Headphone_Black_3.jpeg,Beats_By_Dre_Studio_2_Headphone_Black_4.jpeg,Beats_By_Dre_Studio_2_Headphone_Black_5.jpeg,Beats_By_Dre_Studio_2_Headphone_Black_6.jpeg,Beats_By_Dre_Studio_2_Headphone_Black_7.jpeg,,1,1,5,23600,,,,,,,,,,,
Beats By Dre Studio 2 Headphone - Blue,8.48447E+11,Beats By Dre,Studio 2,,Earphones & Headphones,Headphones,Blue,Blue,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"Over The Ear, Stereo, Noice Cancelling",With Microphone,1 Year Warranty,,"The world’s most famous headphone has been completely redesigned and reimagined. The new Beats Studio is lighter, sexier, stronger, and more comfortable, with precision sound, Adaptive Noise Canceling, a 20-hour rechargeable battery, and RemoteTalk. It has all the energy and excitement you expect from Beats, plus a powerful, reengineered sound.",Beats_By_Dre_Studio_2_Headphone_Blue_1.jpeg,Beats_By_Dre_Studio_2_Headphone_Blue_2.jpeg,Beats_By_Dre_Studio_2_Headphone_Blue_3.jpeg,Beats_By_Dre_Studio_2_Headphone_Blue_4.jpeg,Beats_By_Dre_Studio_2_Headphone_Blue_5.jpeg,Beats_By_Dre_Studio_2_Headphone_Blue_6.jpeg,Beats_By_Dre_Studio_2_Headphone_Blue_7.jpeg,,1,1,5,23600,,,,,,,,,,,
Beats By Dre Studio Wireless Headphone - Black,8.48447E+11,Beats By Dre,Studio Wireless,,Earphones & Headphones,Headphones,Black,Black,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"Over The Ear, Stereo, Noice Cancelling",With Microphone,1 Year Warranty,,Pair and play with your Bluetooth device with 30 foot range. Dual-mode Adaptive Noise Canceling. Iconic Beats sound. 12 hour rechargeable battery with Fuel Gauge. Take hands-free calls with built-in mic.,Beats_By_Dre_Studio_Wireless_Headphone_Black_1.jpeg,Beats_By_Dre_Studio_Wireless_Headphone_Black_2.jpeg,Beats_By_Dre_Studio_Wireless_Headphone_Black_3.jpeg,Beats_By_Dre_Studio_Wireless_Headphone_Black_4.jpeg,Beats_By_Dre_Studio_Wireless_Headphone_Black_5.jpeg,Beats_By_Dre_Studio_Wireless_Headphone_Black_6.jpeg,Beats_By_Dre_Studio_Wireless_Headphone_Black_7.jpeg,,1,1,5,29900,,,,,,,,,,,
Beats By Dre Studio Wireless Headphone - White,8.48447E+11,Beats By Dre,Studio Wireless,,Earphones & Headphones,Headphones,White,White,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"Over The Ear, Stereo, Noice Cancelling",With Microphone,1 Year Warranty,,Pair and play with your Bluetooth device with 30 foot range. Dual-mode Adaptive Noise Canceling. Iconic Beats sound. 12 hour rechargeable battery with Fuel Gauge. Take hands-free calls with built-in mic.,Beats_By_Dre_Studio_Wireless_Headphone_White_1.jpeg,Beats_By_Dre_Studio_Wireless_Headphone_White_2.jpeg,Beats_By_Dre_Studio_Wireless_Headphone_White_3.jpeg,Beats_By_Dre_Studio_Wireless_Headphone_White_4.jpeg,Beats_By_Dre_Studio_Wireless_Headphone_White_5.jpeg,Beats_By_Dre_Studio_Wireless_Headphone_White_6.jpeg,Beats_By_Dre_Studio_Wireless_Headphone_White_7.jpeg,,1,1,5,29900,,,,,,,,,,,
Beats By Dre Studio Wireless Headphone - Red,8.48447E+11,Beats By Dre,Studio Wireless,,Earphones & Headphones,Headphones,Red,Red,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"Over The Ear, Stereo, Noice Cancelling",With Microphone,1 Year Warranty,,Pair and play with your Bluetooth device with 30 foot range. Dual-mode Adaptive Noise Canceling. Iconic Beats sound. 12 hour rechargeable battery with Fuel Gauge. Take hands-free calls with built-in mic.,Beats_By_Dre_Studio_Wireless_Headphone_Red_1.jpeg,Beats_By_Dre_Studio_Wireless_Headphone_Red_2.jpeg,Beats_By_Dre_Studio_Wireless_Headphone_Red_3.jpeg,Beats_By_Dre_Studio_Wireless_Headphone_Red_4.jpeg,Beats_By_Dre_Studio_Wireless_Headphone_Red_5.jpeg,Beats_By_Dre_Studio_Wireless_Headphone_Red_6.jpeg,Beats_By_Dre_Studio_Wireless_Headphone_Red_7.jpeg,,1,1,5,29900,,,,,,,,,,,
Beats By Dre Studio Wireless Headphone - Blue,8.48447E+11,Beats By Dre,Studio Wireless,,Earphones & Headphones,Headphones,Blue,Blue,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"Over The Ear, Stereo, Noice Cancelling",With Microphone,1 Year Warranty,,Pair and play with your Bluetooth device with 30 foot range. Dual-mode Adaptive Noise Canceling. Iconic Beats sound. 12 hour rechargeable battery with Fuel Gauge. Take hands-free calls with built-in mic.,Beats_By_Dre_Studio_Wireless_Headphone_Blue_1.jpeg,Beats_By_Dre_Studio_Wireless_Headphone_Blue_2.jpeg,Beats_By_Dre_Studio_Wireless_Headphone_Blue_3.jpeg,Beats_By_Dre_Studio_Wireless_Headphone_Blue_4.jpeg,Beats_By_Dre_Studio_Wireless_Headphone_Blue_5.jpeg,Beats_By_Dre_Studio_Wireless_Headphone_Blue_6.jpeg,Beats_By_Dre_Studio_Wireless_Headphone_Blue_7.jpeg,,1,1,5,29900,,,,,,,,,,,
Beats By Dre Studio Wireless Headphone - Titanium,8.48447E+11,Beats By Dre,Studio Wireless,,Earphones & Headphones,Headphones,Titanium,Titanium,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"Over The Ear, Stereo, Noice Cancelling",With Microphone,1 Year Warranty,,Pair and play with your Bluetooth device with 30 foot range. Dual-mode Adaptive Noise Canceling. Iconic Beats sound. 12 hour rechargeable battery with Fuel Gauge. Take hands-free calls with built-in mic.,Beats_By_Dre_Studio_Wireless_Headphone_Titanium_1.jpeg,Beats_By_Dre_Studio_Wireless_Headphone_Titanium_2.jpeg,Beats_By_Dre_Studio_Wireless_Headphone_Titanium_3.jpeg,Beats_By_Dre_Studio_Wireless_Headphone_Titanium_4.jpeg,Beats_By_Dre_Studio_Wireless_Headphone_Titanium_5.jpeg,Beats_By_Dre_Studio_Wireless_Headphone_Titanium_6.jpeg,Beats_By_Dre_Studio_Wireless_Headphone_Titanium_7.jpeg,,1,1,5,29900,,,,,,,,,,,
Beats By Dre Executive Headphone - Silver,8.48447E+11,Beats By Dre,Executive,,Earphones & Headphones,Headphones,Silver,Silver,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"Over The Ear, Stereo, Noice Cancelling",With Microphone,1 Year Warranty,,"Beats Executive headphones are crafted to provide crisp, uninterrupted sound with the best quality materials. The sleek, aluminum body ensures a durable product and the soft ear cushions provide hours of listening comfort. Lightweight but sturdy materials and a unique folding design make Beats Executive headphones easy to carry for incredible sound anywhere. Active Noise Cancellation (ANC) and custom EQ deliver pure audio that is free from external disruptions and exceptionally clear.",Beats_By_Dre_Executive_Headphone_Silver_1.jpeg,Beats_By_Dre_Executive_Headphone_Silver_2.jpeg,Beats_By_Dre_Executive_Headphone_Silver_3.jpeg,Beats_By_Dre_Executive_Headphone_Silver_4.jpeg,Beats_By_Dre_Executive_Headphone_Silver_5.jpeg,Beats_By_Dre_Executive_Headphone_Silver_6.jpeg,Beats_By_Dre_Executive_Headphone_Silver_7.jpeg,,1,1,5,24500,,,,,,,,,,,
Beats By Dre Mixr Headphone - Red,8.48447E+11,Beats By Dre,Mixr,,Earphones & Headphones,Headphones,Red,Red,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"On The Ear, Stereo",With Microphone,1 Year Warranty,,Beats Mixr headphones deliver extremely deep bass at extraordinarily high volume. Made for pros warming up the party. Rotating earcups to hear the sound around you. Take calls and control music with RemoteTalk cable.,Beats_By_Dre_Mixr_Headphone_Red_1.jpeg,Beats_By_Dre_Mixr_Headphone_Red_2.jpeg,Beats_By_Dre_Mixr_Headphone_Red_3.jpeg,Beats_By_Dre_Mixr_Headphone_Red_4.jpeg,Beats_By_Dre_Mixr_Headphone_Red_5.jpeg,Beats_By_Dre_Mixr_Headphone_Red_6.jpeg,Beats_By_Dre_Mixr_Headphone_Red_7.jpeg,,1,1,5,20750,,,,,,,,,,,
